TIME TABLE: B.Tech CSE VI AIML (2024-25 EVEN SEMESTER),,,,,,,,,,,,,,
ROOM NO: E-201,,,,,,W.E.F.: 3 Feb 2025 ,,,,,,,,
DAY \ TIME,09:00-9:55,9:55-10:50,10:50-11:00,11:00-11:50,11:50-12:40,12:40-1:10,1:10-2:00,2:00-2:50,2:50-3:40,3:40-4:30,,,,
MONDAY,TCS-601,TCS-619,BREAK,TCS-682,TCS 693,LUNCH,PESE 600 (PDP LAB G1 + G2),,TCS-601,,,,,
,DVP,AB,,ASB,SP,,PA,,DVP,,,,,
TUESDAY,TCS 693,TCS-682,,PCS-601 (CD LAB G1/L4+G2/L5),,,Placement Classes,,,,,,,
,SP,ASB,,PM,,,AK,,,,,,,
WEDNESDAY,TCS 693,TCS-601,,TCS-611,TCS-619,,,,,,,,,
,SP,DVP,,Online,AB,,,,,,,,,
THURSDAY,XCS-601,XCS-601,,TCS-682,LIB,,PCS 693 (Web-D LAB G1/L4+ G2/L5),,TCS-611,,,,,
,DT,PA,,ASB,,,SP,,Online,,,,,
FRIDAY,PCS-682 (Ad. ML LAB G1/L1+G2/L2),,,TCS-611,TCS-619,,,,,,,,,
,HP,,,Online,AB,,,,,,,,,
,,,,,,,Ms. Senam Pandey,,,,,,,
,,,,,,,,,CO-ORDINATOR,,,,,
Subject,,,Code,Faculty Name & Code,,,,,,,,,,
Compiler Design,,,TCS-601,Mr. Devesh Pandey,,DVP,,,,,,,,
Software Engineering (Online),,,TCS-611,Mr. Anubhav Bewerval,,AB,,,,,,,,
Advanced Machine Learning,,,TCS-682,Dr. Ankur singh Bist,,ASB,,,,,,,,
Full Stack Web Development,,,TCS 693,Ms. Senam Pandey,,SP,,,,,,,,
Network and system security,,,TCS-619,Mr. Anubhav Bewerval,,AB,,,,,,,,
Compiler Design Lab,,,PCS-601,Mr. Parthak Mehra,,PM,,,,,,,,
Advanced Machine Learning Lab,,,PCS-682,Ms. Heera Patwal,,HP,,,,,,,,
Web Development Lab,,,PCS 693,Ms. Akshita Arya ,,AA,,,,,,,,
Career Skills,,,XCS-601,Mr. Pawan Agarwal + Mr. Divas Tewari,,PA + DT,,,,,,,,
Practical for Employability Skill Enhancement,,,PESE 600,Mr. Pawan Agarwal,,PA,,,,,,,,
Mini Project,,,CSP-601,Ms. Senam Pandey,,SP,,,,,,,,
MOOCS Seminar,,,SCS-601,Ms. Senam Pandey,,SP,,,,,,,,
Placement Classes,,,,Mr. Ayush Kapri,,AK,,,,,,,,
Time Table Coordinator (BTech & SOC),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,.,,,
